Ticker,Name,Market Cap From (USD),Market Cap To (USD),Absolute Change (USD),Percentage Change (%),Rank From,Rank To,Rank Change,Market Share From (%),Market Share To (%)
BC.MI,Brunello Cucinelli S.p.A.,7957205309.18,7957205309.18,0.00,0.00,36,36,0,0.3775,0.3775
VAN.BR,Van de Velde N.V.,493471888.06,493471888.06,0.00,0.00,104,104,0,0.0234,0.0234
BOO.L,Boohoo Group Plc,4943397.21,4943397.21,0.00,0.00,146,146,0,0.0002,0.0002
DOLLAR.NS,Dollar Industries Limited,238745746.69,238745746.69,0.00,0.00,116,116,0,0.0113,0.0113
BKE,"The Buckle, Inc.",2874000260.00,2874000260.00,0.00,0.00,56,56,0,0.1363,0.1363
VSCO,Victoria's Secret & Co.,1768732875.00,1768732875.00,0.00,0.00,70,70,0,0.0839,0.0839
CRI,"Carter's, Inc.",957802538.00,957802538.00,0.00,0.00,82,82,0,0.0454,0.0454
CROX,"Crocs, Inc.",4727682144.00,4727682144.00,0.00,0.00,45,45,0,0.2243,0.2243
WOSG.L,Watches of Switzerland Group plc,10440409.23,10440409.23,0.00,0.00,144,144,0,0.0005,0.0005
MUL.L,Mulberry Group plc,974848.68,974848.68,0.00,0.00,149,149,0,0.0000,0.0000
OXM,"Oxford Industries, Inc.",701963800.00,701963800.00,0.00,0.00,95,95,0,0.0333,0.0333
WOL.VI,Wolford AG,62278563.15,62278563.15,0.00,0.00,132,132,0,0.0030,0.0030
GRND3.SA,Grendene S.A.,884858511.78,884858511.78,0.00,0.00,85,85,0,0.0420,0.0420
GIL.TO,Gildan Activewear Inc.,8327659120.78,8327659120.78,0.00,0.00,33,33,0,0.3951,0.3951
LUXIND.NS,Lux Industries Limited,447519568.06,447519568.06,0.00,0.00,105,105,0,0.0212,0.0212
BIRD,"Allbirds, Inc.",57351219.00,57351219.00,0.00,0.00,136,136,0,0.0027,0.0027
RCKY,"Rocky Brands, Inc.",208366686.00,208366686.00,0.00,0.00,117,117,0,0.0099,0.0099
0709.HK,Giordano International Limited,311863681.67,311863681.67,0.00,0.00,108,108,0,0.0148,0.0148
PMNT,Perfect Moment Ltd. Common Stock,15384432.00,15384432.00,0.00,0.00,142,142,0,0.0007,0.0007
TOD.MI,TOD'S S.p.A.,1664029354.96,1664029354.96,0.00,0.00,71,71,0,0.0789,0.0789
CURV,Torrid Holdings Inc.,239564160.00,239564160.00,0.00,0.00,115,115,0,0.0114,0.0114
CDI.PA,Christian Dior SE,99879950457.06,99879950457.06,0.00,0.00,8,8,0,4.7382,4.7382
